,date,ft
1185,2019-08-19,61
1118,2019-08-19,66
1285,2019-08-19,73
857,2019-08-19,73
1230,2019-08-20,72
184,2019-08-20,72
594,2019-08-22,72
1270,2019-08-24,72
303,2019-08-26,74
587,2019-08-26,72
659,2019-08-27,72
1004,2019-08-27,72
419,2019-08-28,74
1262,2019-08-29,76
635,2019-08-29,77
1289,2019-09-04,77
1214,2019-09-04,74
233,2019-09-07,76
418,2019-09-07,74
162,2019-09-07,75
627,2019-09-10,77
265,2019-09-13,77
217,2019-09-13,75
1088,2019-09-18,66
495,2019-09-18,61
987,2019-09-18,77
94,2019-09-18,77
377,2019-09-18,66
959,2019-09-18,73
737,2019-09-18,73
809,2019-09-18,61
464,2019-09-18,75
1065,2019-10-02,74
1291,2019-10-02,80
665,2019-10-02,77
107,2019-10-02,77
1072,2019-10-03,76
944,2019-10-03,81
680,2019-10-11,75
190,2019-10-14,88
96,2019-10-15,66
317,2019-10-15,61
829,2019-10-15,73
486,2019-10-15,77
179,2019-10-15,66
459,2019-10-15,77
1124,2019-10-15,61
1369,2019-10-15,73
1227,2019-10-15,74
431,2019-10-16,75
1192,2019-10-17,81
993,2019-10-22,75
1135,2019-10-24,76
140,2019-10-25,76
35,2019-10-25,75
135,2019-10-25,75
562,2019-10-25,75
1155,2019-10-29,76
26,2019-10-29,76
57,2019-10-31,76
345,2019-11-04,75
1265,2019-11-05,75
39,2019-11-06,75
565,2019-11-12,75
294,2019-11-13,75
735,2019-11-13,66
1107,2019-11-13,73
23,2019-11-13,80
1352,2019-11-13,73
1207,2019-11-13,81
718,2019-11-13,77
551,2019-11-13,77
181,2019-11-13,66
692,2019-11-14,75
63,2019-11-15,81
1239,2019-11-18,81
864,2019-11-22,81
965,2019-11-26,81
234,2019-11-26,82
1168,2019-12-03,81
195,2019-12-07,81
1324,2019-12-07,81
240,2019-12-11,77
288,2019-12-11,73
349,2019-12-11,66
212,2019-12-11,77
747,2019-12-11,66
249,2019-12-11,73
763,2019-12-12,77
452,2019-12-13,77
88,2019-12-13,73
663,2019-12-13,66
924,2019-12-18,81
728,2020-01-14,81
573,2020-01-15,73
936,2020-01-15,73
920,2020-01-15,77
435,2020-01-15,77
937,2020-01-17,78
503,2020-01-17,78
560,2020-01-18,73
42,2020-01-18,77
799,2020-01-18,81
895,2020-01-18,81
1208,2020-01-18,73
882,2020-01-18,77
825,2020-01-21,79
1249,2020-01-22,79
744,2020-01-23,85
93,2020-01-29,79
886,2020-02-03,79
1066,2020-02-04,79
365,2020-02-10,80
1344,2020-02-11,77
1090,2020-02-11,81
279,2020-02-11,77
969,2020-02-11,81
383,2020-02-11,73
633,2020-02-11,73
